"Dates","SPY","AGG"
2003-10-31,0.053526825018314,-0.0093476144109056
2003-11-30,0.010921120296644,0.0033462021692123
2003-12-31,0.050326719319346,0.0097929061339
2004-01-31,0.019769985799515,0.0044052863436123
2004-02-29,0.013570620014876,0.011411337268155
2004-03-31,-0.013195474716645,0.0068380763741585
2004-04-30,-0.018921300069342,-0.028069426146118
2004-05-31,0.017123305850066,-0.0037777192225076
2004-06-30,0.01849439174647,0.007282712768286
2004-07-31,-0.032218659147985,0.0092490561431647
2004-08-31,0.0024359889006131,0.016189843162755
2004-09-30,0.01001925589959,0.0051594139728
2004-10-31,0.012884708072929,0.008672924900841
2004-11-30,0.044509883748874,-0.0073852816025707
2004-12-31,0.030153570588435,0.0079788888690059
2005-01-31,-0.022420773829219,0.0048828124999999
2005-02-28,0.020903799224651,-0.0037130826290734
2005-03-31,-0.018281381329717,-0.0097366807880645
2005-04-30,-0.018735156143906,0.017213315102145
2005-05-31,0.032224647948164,0.0082718707053328
2005-06-30,0.0015000921162805,0.0087363781089698
2005-07-31,0.038261436482631,-0.010344257512516
2005-08-31,-0.0093744627343539,0.011817372988931
2005-09-30,0.0079952251324712,-0.0093672902881609
2005-10-31,-0.023650877571108,-0.0099033173380754
2005-11-30,0.04395244428417,0.003744076775975
2005-12-31,-0.0018965038156704,0.01135498689968
2006-01-31,0.024014118962105,-0.00059648076349542
2006-02-28,0.0057254588235295,0.0016147721043228
2006-03-31,0.016500562590723,-0.0086755777250666
2006-04-30,0.012631895361135,-0.0014873751546682
2006-05-31,-0.030120932303028,-0.0019747951929421
2006-06-30,0.0026406318652636,-0.001607818039241
2006-07-31,0.004478307703318,0.013880280362464
2006-08-31,0.021822456344505,0.015896847715747
2006-09-30,0.026991052263663,0.010118502830145
2006-10-31,0.031516626268654,0.0068559098711294
2006-11-30,0.01988537730748,0.010610875048034
2006-12-31,0.01337070210628,-0.0060060023123289
2007-01-31,0.015040284389221,-0.00070210631895707
2007-02-28,-0.01961744,0.016255548490438
2007-03-31,0.011600148536531,-0.0019519665282374
2007-04-30,0.044295725352113,0.0058959400119688
2007-05-31,0.033920117590133,-0.0091682919239366
